# PerfMonitor started 2026-05-16T18:44:43
# threshold=18ms history=600f context=30f post=10f
# .NET GC server=False latencyMode=Interactive
frame,frame_ms,proc_ms,phys_ms,gc0,gc1,gc2,note
# SPIKE #1 t=465ms 142.69ms
# RECENT MARKS (last 2):
#   t=433ms [music_load] title_screens (BEGIN)
#   t=434ms [music_load] title_screens (END +2ms)
31676,8.33,9.57,0.15,0,0,0,
31677,8.33,9.57,0.15,0,0,0,
31678,9.09,9.57,0.15,0,0,0,
31679,14.92,9.57,0.15,0,0,0,
31680,9.09,9.57,0.15,0,0,0,
31681,15.91,9.57,0.15,0,0,0,
31682,10.00,9.57,0.15,0,0,0,
31683,9.66,9.57,0.15,0,0,0,
31684,10.00,9.57,0.15,0,0,0,
31685,28.67,9.57,0.15,0,0,0,SPIKE
31686,16.67,9.57,0.15,0,0,0,POST
31687,16.67,9.57,0.15,0,0,0,POST
31688,8.33,9.57,0.15,0,0,0,POST
31689,8.33,9.57,0.15,0,0,0,POST
31690,8.33,9.57,0.15,0,0,0,POST
31691,8.33,9.57,0.15,0,0,0,POST
31692,8.33,9.57,0.15,0,0,0,POST
31693,8.33,9.57,0.15,0,0,0,POST
